date,Close,High,Low,Open,Volume,ticker
,AAPL,AAPL,AAPL,AAPL,AAPL,
2008-01-02,5.849119186401367,6.0118287377815385,5.780373950029967,5.9821089434096,1079178800,AAPL
2008-01-03,5.85181999206543,5.925669548226654,5.784575011135818,5.866229974388948,842066400,AAPL
2008-01-04,5.405121803283691,5.793882389595054,5.370298873762459,5.747351346743581,1455832000,AAPL
2008-01-07,5.332773208618164,5.51169317331155,5.1103238843778405,5.441145493849881,2072193200,AAPL
2008-01-08,5.140944004058838,5.477469947151359,5.127435045283893,5.4078224949057185,1523816000,AAPL
2008-01-09,5.385610103607178,5.388611783705481,5.052386337191578,5.1424467604374335,1813882000,AAPL
2008-01-10,5.344180583953857,5.433640564155202,5.265828299784806,5.3309718327272035,1482975200,AAPL
2008-01-11,5.184174537658691,5.339078695795921,5.103420570621006,5.28354100428605,1232285600,AAPL
2008-01-14,5.36699914932251,5.386211671060131,5.25862600129595,5.329173720578344,1100450400,AAPL
2008-01-15,5.074600696563721,5.380204855201007,4.943111984500429,5.335175254018701,2343278000,AAPL
2008-01-16,4.792410850524902,5.073698517834535,4.704151707001155,4.9602227051964185,2213845200,AAPL
2008-01-17,4.8299360275268555,4.964126212858035,4.755786647289644,4.848548925609298,1757859600,AAPL
2008-01-18,4.8440446853637695,4.975833175962228,4.791509494065242,4.854551563298794,1724343600,AAPL
2008-01-22,4.672328948974609,4.8026163889278415,4.382935710146727,4.444776942385749,2434754000,AAPL
2008-01-23,4.174896240234375,4.20281477577271,3.7867362091660075,4.088438361469497,3372969600,AAPL
2008-01-24,4.070727825164795,4.223830726288423,3.9629559394064984,4.202516355255358,2005866800,AAPL
2008-01-25,3.902916431427002,4.175499395306696,3.890908908114336,4.172497714884487,1554739200,AAPL
2008-01-28,3.902916431427002,3.998680818735968,3.7960443435517797,3.8473795318433752,1474844000,AAPL
2008-01-29,3.9488449096679688,3.9863701029236176,3.8740955327390916,3.9371376008890975,1099982800,AAPL
2008-01-30,3.968057870864868,4.066223870711989,3.902614138174588,3.9437418274841236,1243051600,AAPL
2008-01-31,4.063522815704346,4.102248043649384,3.8846028595548345,3.8861030979000355,1345674400,AAPL
2008-02-01,4.015190601348877,4.100447276700843,3.968058742426809,4.08994039649927,1010744000,AAPL
2008-02-04,3.9521484375,4.07973323988361,3.945243252163841,4.028999286465897,899234000,AAPL
2008-02-05,3.8834004402160645,4.022693700255542,3.8695908767236262,3.9155218841078483,1141042000,AAPL
2008-02-06,3.6624536514282227,3.9602535598922763,3.655549268577261,3.927531290302556,1573272400,AAPL
2008-02-07,3.639639139175415,3.7459107880232874,3.520458944599819,3.601513918110361,2083331600,AAPL
2008-02-08,3.766925573348999,3.773529750926974,3.650446831259872,3.664856820474131,1355972800,AAPL
2008-02-11,3.8861031532287598,3.9020141771233257,3.81855835773509,3.842874804762208,1201432400,AAPL
2008-02-12,3.7483108043670654,3.932633661840989,3.711085422223498,3.9236278248408945,1225980000,AAPL
2008-02-13,3.884603500366211,3.896011005198258,3.7714274729282904,3.802948515846905,968534000,AAPL
